date,lat,lon,alt,epx,epy,apv,temperature,pressure,humidity,light,ir_light,uv_light,mq3,mq135,mq7,mq4
1433899339953,,,,,,,,1006.86,,,,,32,58,83,47
1433899340166,,,,,,,30.8,1006.86,,,,,32,58,83,47
1433899340447,,,,,,,30.8,1006.86,,,,,32,58,83,47
1433899340712,,,,,,,30.9,1006.88,,,,,32,58,83,47
1433899340950,,,,,,,30.9,1006.86,,,,,32,58,83,47
1433899341160,,,,,,,30.9,1006.9,,,,,32,57,83,47
1433899341364,,,,,,,30.9,1006.8,,,,,32,59,84,47
1433899341571,,,,,,,30.9,1007.02,,,,,32,58,82,47
1433899341966,,,,,,,30.9,1006.92,,,,,32,58,82,47
1433899342173,,,,,,,30.9,1006.88,,,,,32,58,83,47
1433899342378,,,,,,,30.9,1006.9,,,,,32,58,82,47
1433899342588,,,,,,,30.9,1006.88,,,,,32,58,82,47
1433899342792,,,,,,,30.9,1006.87,,,,,32,58,82,47
1433899342997,,,,,,,30.9,1006.93,,,,,32,58,82,47
1433899343205,,,,,,,30.9,1006.9,,,,,32,58,82,47
1433899343412,,,,,,,30.9,1006.85,,,,,32,58,82,47
1433899343617,,,,,,,30.9,1006.93,,,,,32,58,82,47
1433899343823,,,,,,,30.9,1006.95,,,,,32,58,82,47
1433899344032,,,,,,,30.9,1006.99,,,,,32,58,82,47
1433899344232,,,,,,,30.9,1006.95,,,,,32,58,82,47
1433899344436,,,,,,,30.9,1006.88,,,,,32,58,82,47
1433899344639,,,,,,,30.9,1006.97,,,,,32,58,82,47
1433899344843,,,,,,,30.9,1006.92,,,,,32,58,82,47
1433899345048,,,,,,,30.9,1006.97,,,,,32,58,83,47
1433899345256,,,,,,,30.9,1006.9,,,,,32,58,82,47
1433899345468,,,,,,,30.9,1006.89,,,,,32,58,82,47
1433899345677,,,,,,,30.9,1006.9,,,,,32,58,82,47
1433899345898,,,,,,,30.9,1006.88,,,,,31,58,83,47
1433899346100,,,,,,,30.9,1006.89,,,,,31,58,82,47
1433899346306,,,,,,,30.9,1006.87,,,,,32,58,82,47
1433899346510,,,,,,,30.9,1006.92,,,,,32,58,82,47
1433899346714,,,,,,,30.9,1006.9,,,,,32,58,82,47
1433899346920,,,,,,,30.9,1006.89,,,,,32,58,82,47
1433899347124,,,,,,,30.9,1006.91,,,,,32,58,82,47
1433899347330,,,,,,,31,1006.94,,,,,32,58,82,47
1433899347542,,,,,,,31,1006.94,,,,,32,58,82,47
1433899347757,,,,,,,30.9,1006.94,,,,,31,58,82,47
1433899347961,,,,,,,30.9,1006.9,,,,,31,57,82,47
1433899348165,,,,,,,31,1006.93,,,,,31,57,82,47
1433899348369,,,,,,,30.9,1006.95,,,,,31,57,82,47
1433899348572,,,,,,,31,1006.98,,,,,31,57,82,47
1433899348777,,,,,,,30.9,1006.93,,,,,32,57,82,47
1433899348984,,,,,,,30.9,1006.9,,,,,32,58,82,47
1433899349189,,,,,,,30.9,1006.92,,,,,32,58,82,47
1433899349393,,,,,,,30.9,1006.9,,,,,32,58,82,47
1433899349600,,,,,,,30.9,1006.87,,,,,32,58,82,47
1433899349804,,,,,,,31,1006.85,,,,,32,58,82,47
1433899350010,,,,,,,31,1006.92,,,,,32,58,82,47
1433899350214,,,,,,,31,1006.89,,,,,32,58,82,47
1433899350417,,,,,,,31,1006.98,,,,,32,58,82,47
1433899350621,,,,,,,31,1006.87,,,,,32,58,82,47
1433899350824,,,,,,,31,1006.87,,,,,32,58,82,47
1433899351029,,,,,,,31,1006.94,,,,,32,58,82,47
1433899351233,,,,,,,31,1006.87,,,,,32,58,82,47
1433899351436,,,,,,,31,1006.93,,,,,32,58,82,47
1433899351638,,,,,,,31,1006.89,,,,,32,58,82,46
1433899351843,,,,,,,31,1006.86,,,,,32,58,82,47
1433899352047,,,,,,,31,1006.85,,,,,32,58,82,47
1433899352252,,,,,,,31,1006.81,,,,,32,58,82,47
1433899352455,,,,,,,31,1006.94,,,,,32,58,82,47
1433899352660,,,,,,,31,1006.88,,,,,32,58,82,47
1433899352865,,,,,,,31,1006.96,,,,,31,58,82,47
1433899353067,,,,,,,31,1006.96,,,,,32,58,82,47
1433899353271,,,,,,,31,1006.95,,,,,31,58,82,47
1433899353475,,,,,,,31,1006.95,,,,,31,58,82,47
1433899353678,,,,,,,31,1006.86,,,,,31,57,82,47
1433899353884,,,,,,,31,1006.93,,,,,31,58,82,47
1433899354103,,,,,,,31,1006.95,,,,,31,58,82,47
1433899354323,,,,,,,31,1006.88,,,,,31,57,82,47
1433899354532,,,,,,,31,1006.9,,,,,31,57,82,47
1433899354740,,,,,,,31,1006.89,,,,,31,57,82,47
1433899354948,,,,,,,31,1006.88,,,,,31,57,82,47
1433899355156,,,,,,,31,1006.89,,,,,31,57,82,47
1433899355365,,,,,,,31,1006.89,,,,,31,57,82,47
1433899355573,,,,,,,31,1006.94,,,,,31,57,82,47
1433899355780,,,,,,,31,1006.91,,,,,31,57,82,47
1433899355988,,,,,,,31,1006.87,,,,,31,57,82,47
1433899356197,,,,,,,31,1006.83,,,,,31,57,83,47
1433899356406,,,,,,,31,1006.89,,,,,31,57,82,47
1433899356617,,,,,,,31,1006.87,,,,,31,57,82,47
1433899356827,,,,,,,31.1,1006.81,,,,,31,57,82,47
1433899357035,,,,,,,31,1006.93,,,,,31,57,82,46
1433899357243,,,,,,,31,1006.88,,,,,31,57,82,46
1433899357450,,,,,,,31,1006.89,,,,,31,57,82,46
1433899357659,,,,,,,31,1006.88,,,,,31,57,82,46
1433899357868,,,,,,,31,1006.97,,,,,31,57,82,46
1433899358075,,,,,,,31,1006.88,,,,,31,57,82,46
1433899358282,,,,,,,31,1006.84,,,,,31,57,82,46
1433899358490,,,,,,,31,1006.87,,,,,31,57,82,46
1433899358698,,,,,,,31,1006.83,,,,,31,57,82,46
1433899358906,,,,,,,31,1006.94,,,,,31,57,82,46
1433899359115,,,,,,,31,1006.82,,,,,31,58,82,46
1433899359322,,,,,,,31,1006.93,,,,,31,58,82,47
1433899359529,,,,,,,31,1006.82,,,,,31,57,82,46
1433899359737,,,,,,,31,1006.96,,,,,31,57,83,46
1433899359950,,,,,,,30.9,1006.95,,,,,32,57,83,46
1433899360160,,,,,,,30.9,1006.83,,,,,32,57,83,46
1433899360367,,,,,,,30.9,1006.9,,,,,32,57,83,46
1433899360575,,,,,,,30.9,1006.91,,,,,32,57,83,46
1433899360786,,,,,,,30.9,1006.87,,,,,32,57,82,46
1433899360994,,,,,,,30.8,1006.8,,,,,32,57,82,46
1433899361203,,,,,,,30.8,1006.82,,,,,31,57,82,46
1433899361412,,,,,,,30.8,1006.92,,,,,31,57,82,46
1433899361619,,,,,,,30.8,1006.95,,,,,31,57,82,46
1433899361830,,,,,,,30.8,1006.91,,,,,31,57,82,46
1433899362036,,,,,,,30.7,1006.92,,,,,31,57,82,46
1433899362244,,,,,,,30.7,1006.85,,,,,31,57,82,46
1433899362455,,,,,,,30.7,1006.83,,,,,31,57,82,46
1433899362666,,,,,,,30.7,1006.8,,,,,31,57,82,46
1433899362874,,,,,,,30.7,1006.85,,,,,31,57,82,46
1433899363082,,,,,,,30.7,1006.89,,,,,31,57,82,46
1433899363291,,,,,,,30.7,1006.87,,,,,31,57,82,46
1433899363498,,,,,,,30.7,1006.92,,,,,31,57,82,46
1433899363704,,,,,,,30.7,1006.9,,,,,31,57,82,46
1433899363911,,,,,,,30.6,1006.93,,,,,31,57,82,46
1433899364119,,,,,,,30.6,1006.86,,,,,31,57,82,46
1433899364328,,,,,,,30.6,1006.84,,,,,31,56,82,46
1433899364535,,,,,,,30.6,1006.9,,,,,31,57,82,46
1433899364744,,,,,,,30.6,1006.84,,,,,31,57,82,46
1433899364953,,,,,,,30.6,1006.8,,,,,31,57,82,46
1433899365161,,,,,,,30.6,1006.82,,,,,31,57,82,46
1433899365369,,,,,,,30.7,1006.8,,,,,31,57,82,46
1433899365576,,,,,,,30.6,1006.95,,,,,31,57,82,46
1433899365784,,,,,,,30.6,1006.83,,,,,31,57,82,46
1433899365993,,,,,,,30.6,1006.88,,,,,31,57,82,46
1433899366211,,,,,,,30.6,1006.88,,,,,31,57,82,46
1433899366421,,,,,,,30.6,1006.86,,,,,31,57,82,46
1433899366628,,,,,,,30.6,1006.88,,,,,31,57,82,46
1433899366836,,,,,,,30.6,1006.92,,,,,31,57,82,46
1433899367044,,,,,,,30.6,1006.99,,,,,31,57,82,46
1433899367253,,,,,,,30.6,1006.94,,,,,31,57,82,46
1433899367468,,,,,,,30.6,1006.88,,,,,31,57,82,46
1433899367679,,,,,,,30.6,1006.88,,,,,31,57,82,46
1433899367900,,,,,,,30.6,1006.82,,,,,31,57,82,46
1433899368128,,,,,,,30.6,1006.82,,,,,31,57,82,46
1433899368343,,,,,,,30.6,1006.84,,,,,31,57,82,46
1433899368553,,,,,,,30.6,1006.84,,,,,31,57,82,46
1433899368761,,,,,,,30.6,1006.83,,,,,31,57,82,46
1433899368969,,,,,,,30.6,1006.82,,,,,31,57,82,46
1433899369177,,,,,,,30.5,1006.77,,,,,31,57,82,46
1433899369386,,,,,,,30.5,1006.85,,,,,31,57,82,46
1433899369594,,,,,,,30.5,1006.75,,,,,31,58,82,46
1433899369802,,,,,,,30.5,1006.91,,,,,31,58,82,46
1433899370008,,,,,,,30.5,1006.95,,,,,31,58,82,46
1433899370217,,,,,,,30.5,1006.81,,,,,31,58,82,46
1433899370427,,,,,,,30.5,1006.89,,,,,31,58,82,46
1433899370634,,,,,,,30.5,1006.89,,,,,31,58,82,46
1433899370842,,,,,,,30.5,1006.83,,,,,32,59,82,46
1433899371050,,,,,,,30.5,1006.91,,,,,31,59,83,46
1433899371258,,,,,,,30.4,1006.76,,,,,31,59,83,46
1433899371468,,,,,,,30.3,1006.93,,,,,31,58,83,46
1433899371674,,,,,,,30.3,1006.76,,,,,31,58,83,46
1433899371882,,,,,,,30.2,1006.46,,,,,31,58,82,46
1433899372088,,,,,,,30.2,1006.3,,,,,31,58,82,46
1433899372294,,,,,,,30.2,1006.34,,,,,31,58,82,46
1433899372502,,,,,,,30.3,1006.36,,,,,31,58,82,46
1433899372708,,,,,,,30.3,1006.55,,,,,31,58,82,45
1433899372916,,,,,,,30.3,1006.64,,,,,30,58,82,46
1433899373123,,,,,,,30.3,1006.63,,,,,31,58,82,46
1433899373330,,,,,,,30.2,1006.51,,,,,31,58,82,46
1433899373544,,,,,,,30.2,1006.56,,,,,31,58,82,46
1433899373764,,,,,,,30.1,1006.55,,,,,31,58,82,46
1433899373976,,,,,,,30,1006.25,,,,,30,58,82,45
1433899374186,,,,,,,30,1006.36,,,,,30,58,82,45
1433899374394,,,,,,,30,1006.34,,,,,30,58,82,45
1433899374600,,,,,,,30,1006.27,,,,,30,58,82,45
1433899374807,,,,,,,30,1006.28,,,,,30,58,82,45
1433899375017,,,,,,,30,1006.26,,,,,30,58,82,45
1433899375228,,,,,,,29.9,1006.28,,,,,30,58,82,45
1433899375440,,,,,,,29.9,1006.2,,,,,30,58,82,45
1433899375649,,,,,,,29.9,1006.14,,,,,30,58,82,45
1433899375855,,,,,,,29.9,1006.1,,,,,30,58,82,45
1433899376061,,,,,,,29.9,1006.12,,,,,30,58,82,45
1433899376268,,,,,,,29.9,1006.12,,,,,30,58,82,45
1433899376475,,,,,,,29.9,1006.16,,,,,30,58,82,45
1433899376681,,,,,,,29.9,1006.2,,,,,30,58,82,44
1433899376889,,,,,,,29.9,1006.21,,,,,30,58,82,44
1433899377099,,,,,,,29.8,1006.29,,,,,30,58,82,44
1433899377309,,,,,,,29.7,1006.35,,,,,30,58,81,44
1433899377516,,,,,,,29.6,1006.37,,,,,30,58,82,44
1433899377723,,,,,,,29.6,1006.26,,,,,30,58,82,44
1433899377930,,,,,,,29.5,1006.24,,,,,30,58,82,44
1433899378137,,,,,,,29.5,1006.15,,,,,30,58,81,44
1433899378344,,,,,,,29.5,1006.1,,,,,30,58,81,44
1433899378551,,,,,,,29.5,1006.07,,,,,30,59,82,44
1433899378758,,,,,,,29.5,1006.09,,,,,30,59,81,44
1433899378968,,,,,,,29.5,1006.12,,,,,30,59,81,44
1433899379179,,,,,,,29.5,1006.09,,,,,30,59,81,44
1433899379386,,,,,,,29.5,1006.01,,,,,30,59,81,45
1433899379592,,,,,,,29.5,1006.07,,,,,30,59,81,45
1433899379799,,,,,,,29.5,1006.02,,,,,30,59,81,45
1433899380005,,,,,,,29.6,1005.97,,,,,30,59,81,45
1433899380212,,,,,,,29.5,1006.14,,,,,30,59,81,45
1433899380420,,,,,,,29.5,1006.08,,,,,30,59,81,45
1433899380630,,,,,,,29.5,1006.13,,,,,30,59,82,45
1433899380840,,,,,,,29.5,1006.12,,,,,30,59,81,45
1433899381056,,,,,,,29.4,1006.17,,,,,30,59,81,44
1433899381268,,,,,,,29.4,1006.07,,,,,30,59,81,44
1433899381475,,,,,,,29.4,1006.12,,,,,30,59,82,44
1433899381683,,,,,,,29.3,1006,,,,,30,59,82,44
1433899381890,,,,,,,29.3,1006.19,,,,,30,59,81,44
1433899382096,,,,,,,29.2,1006.13,,,,,30,59,82,44
1433899382303,,,,,,,29.2,1006.19,,,,,30,59,82,44
1433899382510,,,,,,,29.1,1006.17,,,,,30,59,82,44
1433899382718,,,,,,,29.1,1006.19,,,,,30,59,81,44
1433899382925,,,,,,,29.1,1006.08,,,,,30,59,82,44
1433899383132,,,,,,,29,1006.15,,,,,30,59,82,44
1433899383339,,,,,,,29.1,1006.15,,,,,30,59,82,44
1433899383547,,,,,,,29,1005.99,,,,,30,60,82,45
1433899383757,,,,,,,29,1006.04,,,,,30,59,81,45
1433899383966,,,,,,,29,1006.07,,,,,30,59,82,45
1433899384172,,,,,,,29,1006.09,,,,,30,59,82,45
1433899384379,,,,,,,29,1006.13,,,,,30,59,82,45
1433899384585,,,,,,,28.9,1006.11,,,,,30,60,82,45
1433899384792,,,,,,,28.9,1006.02,,,,,30,60,82,45
1433899384999,,,,,,,28.9,1006.03,,,,,30,60,81,45
1433899385205,,,,,,,28.9,1006.11,,,,,30,59,82,45
1433899385412,,,,,,,28.9,1006.05,,,,,30,59,82,45
1433899385625,,,,,,,28.9,1006.09,,,,,30,59,82,45
1433899385840,,,,,,,28.9,1006.12,,,,,30,59,82,45
1433899386050,,,,,,,28.9,1006.16,,,,,30,59,82,45
1433899386256,,,,,,,28.9,1006.19,,,,,30,59,82,45
1433899386467,,,,,,,28.9,1006.02,,,,,30,59,82,45
1433899386678,,,,,,,28.9,1006.16,,,,,30,59,82,45
1433899386886,,,,,,,28.8,1006.11,,,,,30,59,82,45
1433899387092,,,,,,,28.8,1006.14,,,,,30,59,81,45
1433899387299,,,,,,,28.8,1006.2,,,,,30,59,81,45
1433899387506,,,,,,,28.8,1006.03,,,,,30,59,82,45
1433899387714,,,,,,,28.8,1006.12,,,,,30,59,82,45
1433899387920,,,,,,,28.7,1006.14,,,,,30,59,82,45
1433899388127,,,,,,,28.7,1006.17,,,,,30,59,82,45
1433899388334,,,,,,,28.7,1006.12,,,,,30,59,81,45
1433899388542,,,,,,,28.7,1006.08,,,,,30,59,81,45
1433899388749,,,,,,,28.7,1006.16,,,,,30,59,82,45
1433899388957,,,,,,,28.6,1005.97,,,,,30,59,81,45
1433899389163,,,,,,,28.6,1006.13,,,,,30,59,81,45
1433899389370,,,,,,,28.6,1006.09,,,,,30,59,81,45
1433899389577,,,,,,,28.6,1006.12,,,,,30,59,82,45
1433899389785,,,,,,,28.6,1006.15,,,,,30,58,82,45
1433899389991,,,,,,,28.6,1006.18,,,,,30,59,81,45
1433899390199,,,,,,,28.6,1006.12,,,,,30,59,81,45
1433899390405,,,,,,,28.6,1006.15,,,,,29,58,81,46
1433899390612,,,,,,,28.6,1006.2,,,,,29,58,81,46
1433899390819,,,,,,,28.5,1006.15,,,,,29,58,81,46
1433899391026,,,,,,,28.5,1006.22,,,,,30,58,81,46
1433899391235,,,,,,,28.5,1006.15,,,,,30,58,81,46
1433899391442,,,,,,,28.5,1006.17,,,,,30,58,81,46
1433899391648,,,,,,,28.5,1006.1,,,,,30,58,81,46
1433899391855,,,,,,,28.5,1006.12,,,,,30,58,81,46
1433899392063,,,,,,,28.5,1006.16,,,,,29,58,81,46
1433899392270,,,,,,,28.5,1006.19,,,,,29,58,81,46
1433899392477,,,,,,,28.5,1006.24,,,,,29,58,81,47
1433899392682,,,,,,,28.5,1006.24,,,,,29,58,81,46
1433899392889,,,,,,,28.5,1006.12,,,,,29,58,81,47
1433899393096,,,,,,,28.5,1006.13,,,,,29,58,81,47
1433899393304,,,,,,,28.5,1006.08,,,,,29,58,81,47
1433899393510,,,,,,,28.4,1006.16,,,,,29,59,81,47
1433899393718,,,,,,,28.4,1006.12,,,,,29,58,81,47
1433899393924,,,,,,,28.4,1006.12,,,,,29,58,81,47
1433899394131,,,,,,,28.4,1006.08,,,,,29,58,81,47
1433899394338,,,,,,,28.4,1006.08,,,,,29,58,81,47
1433899394545,,,,,,,28.4,1006.12,,,,,29,58,81,47
1433899394753,,,,,,,28.4,1006.1,,,,,29,58,81,47
1433899394959,,,,,,,28.4,1006.09,,,,,29,58,81,47
1433899395166,,,,,,,28.4,1006.17,,,,,29,58,81,47
1433899395373,,,,,,,28.4,1006.15,,,,,30,58,81,47
1433899395581,,,,,,,28.4,1006.14,,,,,30,58,81,47
1433899395787,,,,,,,28.4,1006.07,,,,,30,58,81,47
1433899395994,,,,,,,28.4,1006.1,,,,,30,58,81,47
1433899396200,,,,,,,28.4,1006.02,,,,,30,58,81,47
1433899396408,,,,,,,28.4,1006.13,,,,,30,58,81,48
1433899396616,,,,,,,28.4,1006.17,,,,,30,58,81,48
1433899396824,,,,,,,28.3,1006.18,,,,,30,58,81,48
1433899397031,,,,,,,28.3,1006.03,,,,,30,58,81,48
1433899397237,,,,,,,28.4,1006.11,,,,,30,58,81,48
1433899397444,,,,,,,28.4,1006.18,,,,,30,58,81,48
1433899397652,,,,,,,28.4,1006.06,,,,,30,58,81,48
1433899397857,,,,,,,28.4,1006.17,,,,,30,58,81,48
1433899398064,,,,,,,28.4,1006.13,,,,,30,58,81,48
1433899398270,,,,,,,28.4,1006.11,,,,,30,58,81,48
1433899398477,,,,,,,28.4,1006.11,,,,,30,58,80,48
1433899398687,,,,,,,28.4,1006.11,,,,,30,58,81,48
1433899398896,,,,,,,28.3,1006.22,,,,,30,58,81,48
1433899399102,,,,,,,28.3,1006.17,,,,,30,58,80,48
