date,lat,lon,alt,temperature,pressure,humidity,light,ir_light,uv_light,mq3,mq135,mq7,mq4
1433895663289,,,,,,,,,,32,65,90,49
1433895663565,,,,30,1006.34,,,,,32,65,91,49
1433895663780,,,,30,1006.25,,,,,32,64,91,49
1433895663981,,,,30,1006.28,,,,,32,64,91,49
1433895664185,,,,30,1006.27,,,,,32,64,91,49
1433895664385,,,,30,1006.37,,,,,32,63,91,49
1433895664586,,,,30,1006.34,,,,,33,64,91,49
1433895664786,,,,30,1006.29,,,,,33,64,90,49
1433895664991,,,,30,1006.26,,,,,32,63,90,49
1433895665196,,,,30,1006.28,,,,,32,64,90,49
1433895665439,,,,30,1006.25,,,,,32,64,90,49
1433895665655,,,,30,1006.22,,,,,32,63,90,49
1433895665863,,,,30,1006.33,,,,,32,63,90,49
1433895666072,,,,30,1006.26,,,,,32,64,90,49
1433895666282,,,,30,1006.23,,,,,32,63,90,49
1433895666494,,,,30,1006.31,,,,,32,64,90,49
1433895666699,,,,30,1006.27,,,,,32,64,90,49
1433895666906,,,,30,1006.24,,,,,33,64,90,49
1433895667113,,,,30,1006.27,,,,,32,64,90,49
1433895667320,,,,30.1,1006.26,,,,,32,64,90,49
1433895667531,,,,30,1006.25,,,,,32,64,90,49
1433895667750,,,,30,1006.26,,,,,32,65,90,49
1433895667957,,,,30,1006.2,,,,,32,65,90,49
1433895668165,,,,30,1006.27,,,,,32,65,90,49
1433895668376,,,,30,1006.2,,,,,33,65,90,49
1433895668585,,,,30,1006.25,,,,,33,65,90,49
1433895668790,,,,30,1006.28,,,,,33,65,90,49
1433895668995,,,,30,1006.29,,,,,32,65,90,49
1433895669203,,,,30,1006.32,,,,,32,65,90,49
1433895669410,,,,30,1006.34,,,,,32,64,90,48
1433895669617,,,,30,1006.27,,,,,32,64,90,48
1433895669821,,,,30,1006.31,,,,,32,64,90,48
1433895670025,,,,30,1006.26,,,,,32,64,90,48
1433895670239,,,,30,1006.24,,,,,32,64,90,48
1433895670442,,,,30,1006.26,,,,,32,64,90,48
1433895670644,,,,30,1006.28,,,,,32,64,90,49
1433895670856,,,,30,1006.3,,,,,32,64,90,49
1433895671059,,,,30,1006.25,,,,,32,64,90,48
1433895671262,,,,30,1006.3,,,,,32,64,90,48
1433895671464,,,,30,1006.27,,,,,32,64,90,48
1433895671673,,,,30,1006.28,,,,,32,64,90,48
1433895671883,,,,30,1006.22,,,,,32,63,90,48
1433895672088,,,,30,1006.23,,,,,31,62,90,48
1433895672294,,,,29.9,1006.22,,,,,31,62,90,48
1433895672497,,,,29.9,1006.34,,,,,31,62,90,48
1433895672702,,,,29.9,1006.3,,,,,31,62,90,48
1433895672908,,,,29.9,1006.24,,,,,31,62,90,48
1433895673113,,,,29.9,1006.31,,,,,31,62,90,48
1433895673319,,,,29.9,1006.32,,,,,31,61,90,48
1433895673524,,,,29.9,1006.33,,,,,31,61,90,48
1433895673729,,,,29.8,1006.3,,,,,31,61,89,48
1433895673934,,,,29.8,1006.27,,,,,31,61,89,48
1433895674139,,,,29.8,1006.29,,,,,31,61,89,47
1433895674344,,,,29.8,1006.35,,,,,31,61,89,48
1433895674547,,,,29.8,1006.27,,,,,31,61,89,47
1433895674753,,,,29.7,1006.33,,,,,31,61,89,47
1433895674958,,,,29.7,1006.34,,,,,31,61,89,47
1433895675177,,,,29.7,1006.36,,,,,31,61,89,47
1433895675382,,,,29.7,1006.32,,,,,31,61,89,47
1433895675586,,,,29.7,1006.35,,,,,31,61,89,47
1433895675792,,,,29.7,1006.32,,,,,31,61,89,47
1433895675997,,,,29.7,1006.31,,,,,31,61,89,47
1433895676203,,,,29.6,1006.26,,,,,31,61,89,47
1433895676408,,,,29.6,1006.27,,,,,31,61,89,47
1433895676612,,,,29.6,1006.4,,,,,31,61,89,47
1433895676826,,,,29.6,1006.32,,,,,31,61,89,47
1433895677033,,,,29.5,1006.29,,,,,31,61,89,47
1433895677240,,,,29.5,1006.24,,,,,31,61,89,47
1433895677445,,,,29.5,1006.3,,,,,31,61,88,47
1433895677651,,,,29.5,1006.39,,,,,31,61,89,47
1433895677861,,,,29.5,1006.26,,,,,31,61,88,47
1433895678077,,,,29.5,1006.31,,,,,31,60,88,47
1433895678294,,,,29.4,1006.27,,,,,31,61,88,47
1433895678499,,,,29.4,1006.23,,,,,31,60,88,47
1433895678704,,,,29.4,1006.31,,,,,31,61,88,47
1433895678908,,,,29.4,1006.23,,,,,31,60,88,47
1433895679114,,,,29.4,1006.34,,,,,31,60,88,47
1433895679318,,,,29.4,1006.34,,,,,32,60,88,47
1433895679522,,,,29.4,1006.33,,,,,31,60,88,47
1433895679727,,,,29.4,1006.37,,,,,31,60,88,47
1433895679931,,,,29.4,1006.33,,,,,31,60,88,47
1433895680140,,,,29.3,1006.31,,,,,31,60,87,47
1433895680345,,,,29.3,1006.38,,,,,31,60,88,47
1433895680550,,,,29.3,1006.28,,,,,31,60,87,47
1433895680756,,,,29.3,1006.34,,,,,31,60,87,47
1433895680961,,,,29.3,1006.23,,,,,31,60,87,47
1433895681166,,,,29.2,1006.36,,,,,31,60,87,47
1433895681371,,,,29.2,1006.33,,,,,31,60,87,47
1433895681578,,,,29.2,1006.35,,,,,31,60,87,47
1433895681785,,,,29.2,1006.41,,,,,31,60,87,47
1433895681990,,,,29.1,1006.34,,,,,31,60,87,47
1433895682198,,,,29.1,1006.42,,,,,31,60,88,46
1433895682403,,,,29.1,1006.25,,,,,31,60,87,47
1433895682607,,,,29.1,1006.34,,,,,31,60,87,47
1433895682812,,,,29.1,1006.27,,,,,31,60,87,47
1433895683018,,,,29.1,1006.26,,,,,31,60,87,47
1433895683223,,,,29.1,1006.29,,,,,31,60,87,47
1433895683427,,,,29.1,1006.24,,,,,31,60,87,47
1433895683632,,,,29.1,1006.3,,,,,31,60,87,47
1433895683837,,,,29,1006.28,,,,,31,61,87,47
1433895684040,,,,29,1006.31,,,,,31,60,87,47
1433895684246,,,,29,1006.29,,,,,31,61,87,47
1433895684450,,,,29,1006.33,,,,,31,60,87,47
1433895684654,,,,29,1006.31,,,,,31,60,87,47
1433895684858,,,,29,1006.36,,,,,31,60,87,47
1433895685210,,,,29,1006.39,,,,,31,61,87,47
1433895685425,,,,29,1006.48,,,,,31,60,87,47
1433895685628,,,,28.9,1006.45,,,,,31,61,87,47
1433895685834,,,,28.9,1006.32,,,,,31,61,87,47
1433895686039,,,,28.9,1006.31,,,,,31,61,87,47
1433895686245,,,,28.9,1006.35,,,,,31,61,87,47
1433895686448,,,,28.9,1006.27,,,,,31,60,87,47
1433895686652,,,,28.9,1006.33,,,,,31,61,87,47
1433895686857,,,,28.9,1006.37,,,,,31,61,87,47
1433895687063,,,,28.9,1006.35,,,,,31,61,87,47
1433895687269,,,,28.9,1006.32,,,,,31,61,87,47
1433895687474,,,,28.9,1006.39,,,,,31,61,87,47
1433895687680,,,,28.9,1006.36,,,,,31,61,87,47
1433895687884,,,,28.9,1006.34,,,,,31,61,87,47
1433895688092,,,,28.9,1006.3,,,,,31,61,87,47
1433895688299,,,,28.9,1006.4,,,,,31,61,87,47
1433895688503,,,,28.9,1006.33,,,,,31,61,87,47
1433895688708,,,,28.9,1006.39,,,,,31,61,87,47
1433895688912,,,,28.9,1006.33,,,,,31,61,87,47
1433895689121,,,,28.9,1006.32,,,,,31,61,87,47
1433895689334,,,,28.9,1006.43,,,,,31,61,87,47
1433895689543,,,,28.9,1006.36,,,,,31,61,87,47
1433895689751,,,,28.9,1006.38,,,,,31,61,87,47
1433895689959,,,,28.9,1006.35,,,,,31,60,87,47
1433895690167,,,,28.8,1006.3,,,,,31,61,86,47
1433895690374,,,,28.9,1006.4,,,,,31,61,86,47
1433895690587,,,,28.9,1006.37,,,,,31,60,86,47
1433895690801,,,,28.8,1006.35,,,,,31,60,86,47
1433895691015,,,,28.8,1006.36,,,,,31,60,86,47
1433895691226,,,,28.8,1006.28,,,,,31,60,86,47
1433895691438,,,,28.8,1006.32,,,,,31,60,86,47
1433895691647,,,,28.8,1006.28,,,,,31,60,86,47
1433895691855,,,,28.8,1006.3,,,,,31,60,86,47
1433895692064,,,,28.8,1006.3,,,,,31,60,86,47
1433895692272,,,,28.8,1006.34,,,,,31,60,86,47
1433895692480,,,,28.8,1006.32,,,,,31,60,86,47
1433895692697,,,,28.8,1006.31,,,,,31,60,87,47
1433895692908,,,,28.8,1006.27,,,,,31,60,86,47
1433895693117,,,,28.8,1006.35,,,,,31,60,86,47
1433895693325,,,,28.8,1006.36,,,,,31,60,86,47
1433895693532,,,,28.8,1006.27,,,,,31,60,86,47
1433895693741,,,,28.8,1006.28,,,,,31,60,86,47
1433895693950,,,,28.8,1006.39,,,,,31,60,86,46
1433895694163,,,,28.8,1006.4,,,,,31,60,86,47
1433895694373,,,,28.8,1006.34,,,,,31,60,86,46
1433895694582,,,,28.7,1006.29,,,,,31,60,86,46
1433895694790,,,,28.7,1006.35,,,,,31,60,86,46
1433895694998,,,,28.7,1006.33,,,,,31,60,86,46
1433895695205,,,,28.7,1006.28,,,,,31,60,86,46
1433895695413,,,,28.7,1006.28,,,,,31,60,86,46
1433895695622,,,,28.7,1006.24,,,,,31,60,86,46
1433895695831,,,,28.7,1006.34,,,,,31,60,86,46
1433895696040,,,,28.7,1006.26,,,,,31,60,86,46
1433895696248,,,,28.7,1006.27,,,,,31,60,86,46
1433895696457,,,,28.7,1006.36,,,,,31,60,86,46
1433895696665,,,,28.7,1006.29,,,,,31,60,86,46
1433895696872,,,,28.7,1006.27,,,,,31,60,86,46
1433895697080,,,,28.7,1006.31,,,,,31,60,86,46
1433895697288,,,,28.7,1006.38,,,,,31,60,85,46
1433895697497,,,,28.6,1006.36,,,,,31,60,86,46
1433895697705,,,,28.6,1006.37,,,,,31,60,85,46
1433895697913,,,,28.6,1006.34,,,,,31,60,85,46
1433895698121,,,,28.6,1006.3,,,,,31,60,85,46
1433895698330,,,,28.6,1006.35,,,,,31,60,86,46
1433895698537,,,,28.6,1006.36,,,,,31,60,85,46
1433895698747,,,,28.6,1006.36,,,,,31,60,85,46
1433895698960,,,,28.6,1006.44,,,,,31,60,85,46
1433895699175,,,,28.5,1006.4,,,,,31,60,85,46
1433895699383,,,,28.5,1006.4,,,,,31,60,85,46
1433895699592,,,,28.5,1006.42,,,,,31,60,85,46
1433895699802,,,,28.5,1006.5,,,,,31,60,85,46
1433895700014,,,,28.5,1006.52,,,,,31,60,85,46
1433895700223,,,,28.5,1006.54,,,,,31,60,85,46
1433895700430,,,,28.5,1006.56,,,,,30,60,85,46
1433895700642,,,,28.5,1006.52,,,,,30,60,85,46
1433895700850,,,,28.5,1006.51,,,,,30,59,85,46
1433895701058,,,,28.5,1006.61,,,,,31,59,85,46
1433895701267,,,,28.5,1006.56,,,,,30,59,85,46
1433895701475,,,,28.5,1006.49,,,,,30,59,85,46
1433895701682,,,,28.5,1006.54,,,,,30,59,85,45
1433895701890,,,,28.5,1006.5,,,,,30,59,85,45
1433895702098,,,,28.5,1006.63,,,,,31,59,85,45
1433895702307,,,,28.4,1006.63,,,,,31,59,85,45
1433895702514,,,,28.4,1006.69,,,,,31,59,85,45
1433895702722,,,,28.4,1006.59,,,,,31,59,84,45
1433895702930,,,,28.4,1006.67,,,,,30,59,85,45
1433895703138,,,,28.4,1006.61,,,,,30,59,85,46
1433895703346,,,,28.4,1006.6,,,,,30,59,84,45
1433895703554,,,,28.3,1006.73,,,,,30,59,85,45
1433895703762,,,,28.3,1006.65,,,,,30,59,85,45
1433895703970,,,,28.3,1006.74,,,,,30,59,84,45
1433895704182,,,,28.3,1006.67,,,,,30,59,85,45
1433895704390,,,,28.3,1006.77,,,,,30,59,84,45
1433895704598,,,,28.2,1006.74,,,,,30,59,84,45
1433895704805,,,,28.2,1006.8,,,,,30,59,84,45
1433895705014,,,,28.2,1006.79,,,,,30,59,84,45
1433895705222,,,,28.2,1006.82,,,,,30,59,84,45
1433895705431,,,,28.1,1006.87,,,,,30,59,84,45
1433895705640,,,,28.1,1006.96,,,,,30,59,85,45
1433895705848,,,,28.1,1006.84,,,,,30,59,84,45
1433895706058,,,,28.1,1006.87,,,,,30,59,84,45
1433895706269,,,,28,1006.83,,,,,30,59,84,45
1433895706479,,,,28,1006.89,,,,,30,59,84,45
1433895706687,,,,28,1006.9,,,,,31,60,84,45
1433895706895,,,,28,1006.84,,,,,31,60,84,45
1433895707102,,,,27.9,1006.87,,,,,30,60,84,45
1433895707311,,,,27.9,1006.76,,,,,30,60,84,45
1433895707518,,,,28,1006.74,,,,,30,60,84,45
1433895707727,,,,28,1006.88,,,,,31,60,84,45
1433895707943,,,,27.9,1006.88,,,,,30,60,84,45
1433895708157,,,,27.9,1006.84,,,,,30,60,84,46
